"id";"name";"link";"visited"
35;"Fitness Formula Gym And Spa";"http://www.justdial.com/Delhi/Fitness-Formula-Gym-And-Spa-<near>-Near-Metro-Station-Vaishali/011PXX11-XX11-140522120402-K2Y2_BZDET?xid=RGVsaGkgR3ltcw==";"1"
37;"Strength The Gym & Spa";"http://www.justdial.com/Delhi/Strength-The-Gym-Spa-<near>-Opposite-To-Vijay-Bank-And-Near-Central-Hospital-Tilak-Nagar/011P1215758161W9C7W9_BZDET?xid=RGVsaGkgR3ltcw==";"1"
38;"Health N Beauty Village";"http://www.justdial.com/Delhi/Health-N-Beauty-Village-<near>-Faridabad-Sector-46/011PXX11-XX11-150105114418-Q8B2_BZDET?xid=RGVsaGkgR3ltcw==";"1"
42;"Life Style Swim Gym";"http://www.justdial.com/Delhi/Life-Style-Swim-Gym-<near>-Opposite-Church-Vasant-Vihar/011PXX11-XX11-150307103223-Y6T2_BZDET?xid=RGVsaGkgR3ltcw==";"1"
43;"Brix Gym";"http://www.justdial.com/delhi/Brix-Gym-<near>-Near-Axis-Bank-Tilak-Nagar/011PXX11-XX11-130124172429-A8J2_BZDET?xid=RGVsaGkgR3ltcw==";"1"
45;"Xtrafit Gym & More";"http://www.justdial.com/Delhi/Xtrafit-Gym-More-<near>-Below-Andhra-Bank-And-Near-Lancer-Convent-School-Prashant-Vihar/011PXX11-XX11-150109123836-A4M4_BZDET?xid=RGVsaGkgR3ltcw==";"1"
46;"Fitness Step Gym And Spa";"http://www.justdial.com/Delhi/Fitness-Step-Gym-And-Spa-<near>-Behind-Cafe-Coffee-Day-The-Lounge-Lajpat-Nagar-2-Lajpat-Nagar/011PXX11-XX11-110411113136-P7Q2_BZDET?xid=RGVsaGkgR3ltcw==";"1"
47;"F M A Fitness";"http://www.justdial.com/Delhi/F-M-A-Fitness-<near>-Shivalik-Malviya-Nagar/011PXX11-XX11-150106203505-G6M8_BZDET?xid=RGVsaGkgR3ltcw==";"1"
49;"Fitness Studio india";"http://www.justdial.com/delhi/Fitness-Studio-india-<near>-Near-D-Block-Market-Mother-Dairy-South-City-2/011PXX11-XX11-130610181421-A1E9_BZDET?xid=RGVsaGkgR3ltcw==";"1"
50;"Charge Fitness";"http://www.justdial.com/Delhi/Charge-Fitness-<near>-Near-Shanti-Gopal-Hospital-Indirapuram/011PXX11-XX11-121210170524-K2D8_BZDET?xid=RGVsaGkgR3ltcw==";"1"
51;"Beyond Looks Fitness Forever";"http://www.justdial.com/Delhi/Beyond-Looks-Fitness-Forever-<near>-Greater-Kailash-I/011PG024937_BZDET?xid=RGVsaGkgR3ltcw==";"1"
52;"iFitness";"http://www.justdial.com/Delhi/iFitness-<near>-Opposite-Green-Park-Market-Green-Park-Extension/011PXX11-XX11-150316162346-I8B9_BZDET?xid=RGVsaGkgR3ltcw==";"1"
